ignore if not empty;modname;modurl;dependencies;Tags;Modpack;Notes;edited;moddesc;ModDB URL;Forum URL;imported
;;;;;;;x;;;;
;set:ui;;unified_inventory smart_sfinv dreambuilder_hotbar personal_log;;;;x;;;;
;set:modhelpers;;datastorage;;;;x;;;;
;set:test:v1;;set:ui set:doc set:modhelpers craftguide inventory_icon;;;;x;Testset;;;
;;;;;;;x;;;;
;set:doc;;doc doc_basics doc_items doc_encyclopedia doc_identifier doc_minetest_game;;;;x;Set to replace [Modpack] Help;;https://forum.minetest.net/viewtopic.php?t=15912;
;;;;;;;x;;;;
;doc_minetest_game;https://repo.or.cz/minetest_doc_minetest_game.git;default doc_items;doc ui;;ist eigentlich von mehr mods aus mintestgame abh�ngig. Erstmal nicht alle aufgef�hrt da eh noch nicht relevant.;x;[Minetest Game item help] Adds help texts for the documentation system mod, topic: blocks, tools, weapons and other items, with a focus on Minetest Game.;;https://forum.minetest.net/viewtopic.php?f=9&t=15224;
;doc_items;http://repo.or.cz/minetest_doc_items.git;doc;doc ui;;;x;[Item Help] Automatically generated help texts of blocks, tools, weapons, crafting items and other items.;;https://forum.minetest.net/viewtopic.php?t=15912;
;doc_identifier;http://repo.or.cz/minetest_doc_identifier.git;doc doc_items;doc ui;;;x;[Lookup Tool] Adds a tool which shows a help window with explanations on any block which is punched with it.;;https://forum.minetest.net/viewtopic.php?t=15912;
;doc_basics;http://repo.or.cz/minetest_doc_basics.git;doc;doc ui;;;x;[Basic help] A Minetest mod which adds basic gameplay help texts.;;https://forum.minetest.net/viewtopic.php?t=15912;
;doc_encyclopedia;http://repo.or.cz/minetest_doc_encyclopedia.git;doc;doc ui;;;x;[Encyclopedia] A Minetest mod which adds an item to access the documentation system.;;https://forum.minetest.net/viewtopic.php?t=15912;
;smart_sfinv;https://github.com/minetest-mods/smart_sfinv;creative sfinv;inventory api ui;x;;x;Minetest smart sfinv inventory enhancements;https://forum.minetest.net/viewtopic.php?t=20791;;
;datastorage;https://github.com/minetest-technic/datastorage;;api helper;;;x;Simple API for Minetest mods to save per-player data ;;;
;mesecons;https://github.com/minetest-mods/mesecons;;;;;;[Mesecons] Adds digital circuitry, including wires, buttons, lights, and even programmable controllers.;https://content.minetest.net/packages/Jeija/mesecons/;https://forum.minetest.net/viewtopic.php?t=628;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;technic;https://github.com/minetest-mods/technic;default basic_materials pipeworks ;;;;;[Technic] Extensive machinery mod with electricity and ores.;https://content.minetest.net/packages/RealBadAngel/technic/;https://forum.minetest.net/viewtopic.php?t=2538;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs;https://notabug.org/tenplus1/mobs_redo;default ;;;;;[Mobs Redo] Adds a mob api for mods to add animals or monsters etc.;https://content.minetest.net/packages/TenPlus1/mobs/;https://forum.minetest.net/viewtopic.php?t=9917;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;homedecor_modpack;https://gitlab.com/VanessaE/homedecor_modpack;basic_materials unifieddyes bucket creative default wool dye ;;;;;[Homedecor] Feature-filled home decor modpack.;https://content.minetest.net/packages/VanessaE/homedecor_modpack/;https://forum.minetest.net/viewtopic.php?t=2041;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_monster;https://notabug.org/TenPlus1/mobs_monster;default mobs ;;;;;[Mobs Monster] Adds many types of monster.;https://content.minetest.net/packages/TenPlus1/mobs_monster/;https://forum.minetest.net/viewtopic.php?t=9917;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;3d_armor;https://github.com/stujones11/minetest-3d_armor;;;;;;[3D Armor] Visible player armor & wielded items.;https://content.minetest.net/packages/stu/3d_armor/;https://forum.minetest.net/viewtopic.php?t=4654;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;moreblocks;https://github.com/minetest-mods/moreblocks;default ;;;;;[More Blocks] Adds various miscellaneous blocks to the game.;https://content.minetest.net/packages/Calinou/moreblocks/;https://forum.minetest.net/viewtopic.php?t=509;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;farming;https://notabug.org/tenplus1/farming;default ;;;;;[Farming Redo] Adds many plants and food to Minetest;https://content.minetest.net/packages/TenPlus1/farming/;https://forum.minetest.net/viewtopic.php?t=9019;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;worldedit;https://github.com/Uberi/Minetest-WorldEdit;;;;;;[WorldEdit] In-game world editor. Use it to repair griefing, or just create awesome buildings in seconds.;https://content.minetest.net/packages/sfan5/worldedit/;https://forum.minetest.net/viewtopic.php?t=572;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;moreores;https://github.com/minetest-mods/moreores;default ;;;;;[More Ores] Adds new ore types.;https://content.minetest.net/packages/Calinou/moreores/;https://forum.minetest.net/viewtopic.php?t=549;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;pipeworks;https://gitlab.com/VanessaE/pipeworks;default mesecons mesecons_mvps basic_materials ;;;;;[Pipeworks] Supplies a complete set of nice, round mesh-based water pipes, boxy item-transport tubes, and devices that work with them.;https://content.minetest.net/packages/VanessaE/pipeworks/;https://forum.minetest.net/viewtopic.php?t=2155;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;dreambuilder_modpack;https://gitlab.com/VanessaE/dreambuilder_modpack;bucket creative default doors dye flowers fsc screwdriver stairs vessels wool ;;;;;[Dreambuilder] The Dreambuilder Modpack -- Everything you could want to build with, and the tools to do it.;https://content.minetest.net/packages/VanessaE/dreambuilder_modpack/;https://forum.minetest.net/viewtopic.php?t=9196;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;advtrains;https://git.bananach.space/advtrains.git;;;;;;[Advanced Trains] Adds good-looking, realistic trains with realistic rails. ;https://content.minetest.net/packages/orwell/advtrains/;https://forum.minetest.net/viewtopic.php?t=14726;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nether;https://github.com/minetest-mods/nether;stairs default ;;;;;[Nether] Adds a deep underground realm with different mapgen that you can reach with obsidian portals.;https://content.minetest.net/packages/PilzAdam/nether/;https://forum.minetest.net/viewtopic.php?t=5790;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;moretrees;https://gitlab.com/VanessaE/moretrees;default biome_lib vessels ;;;;;[More Trees!] Adds a whole bunch of new types of trees, some bearing fruit or similar, using biome_lib for the placement engine.;https://content.minetest.net/packages/VanessaE/moretrees/;https://forum.minetest.net/viewtopic.php?t=4394;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;plantlife_modpack;https://gitlab.com/VanessaE/plantlife_modpack;biome_lib default flowers ;;;;;[Plantlife] Adds various kinds of plants, fruit bushes, fallen trees, and a whole host of foliage and other ground cover.;https://content.minetest.net/packages/VanessaE/plantlife_modpack/;https://forum.minetest.net/viewtopic.php?t=3898;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;craftguide;https://github.com/minetest-mods/craftguide;;;;;;[Crafting Guide] The most comprehensive Crafting Guide for Minetest.;https://content.minetest.net/packages/jp/craftguide/;https://forum.minetest.net/viewtopic.php?t=14088;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;streets;https://github.com/minetest-streets/streets;default stairs ts_workshop dye ;;;;;[Streets] Adds modern roads to Minetest.;https://content.minetest.net/packages/webdesigner97/streets/;https://forum.minetest.net/viewtopic.php?t=2984;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;vehicles;https://github.com/D00Med/vehicles;default tnt dye ;;;;;[Vehicles] A mod that adds an api for cars, planes, and other vehicles.;https://content.minetest.net/packages/D00Med/vehicles/;https://forum.minetest.net/viewtopic.php?t=15610;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_animal;https://notabug.org/tenplus1/mobs_animal;default ;;;;;[Mobs Animal] Adds farm animals.;https://content.minetest.net/packages/TenPlus1/mobs_animal/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
